Name,City,State,Type,Website,Email,Contact,Phone,Tags,Notes
City Sprouts,Omaha,NE,Independent,https://www.omahasprouts.org/,info@omahasprouts.org,Shannon Kyler,,"Prospect, Omaha, Garden Network","Omaha's oldest community garden (est. 1995), a 501(c)(3) running ~45 plots plus the Decatur Urban Farm in North Omaha and a South Omaha site. Source: https://www.omahasprouts.org/"
The Big Garden,Omaha,NE,Independent,https://biggarden.org/,contact@biggarden.org,,,"Prospect, Omaha, Garden Network","Nonprofit network of 175-200+ community gardens across metro Omaha, Nebraska, Kansas and SW Iowa; annual intake season for new sites. Source: https://biggarden.org/contact-us"
No More Empty Pots,Omaha,NE,Independent,https://nmepomaha.org/,ask@nmepomaha.org,Nancy Williams,,"Prospect, Omaha",North Omaha food-security nonprofit (est. 2010) running a Florence food hub and community gardens; foundation-backed. Source: https://nmepomaha.org/who-we-are/frequent-questions.html
Global Leadership Group Omaha,Omaha,NE,Independent,https://globalleadershipgroupomaha.org/,globalleadershipgroupomaha@gmail.com,LaVonya Goodwin,,"Prospect, Omaha, Grant Recipient","North Omaha nonprofit with a 25-bed plot-adoption garden at 3118 N 24th St; won a 2024 Omaha Neighborhood Grant ($5,000) for accessible beds. Source: https://globalleadershipgroupomaha.org/"
Gifford Park Neighborhood Association Community Garden,Omaha,NE,Independent,http://giffordparkomaha.org/Community_Garden.html,,,,"Prospect, Omaha, Neighborhood Assoc, Grant Recipient","Midtown community garden (est. 2001) near 35th & Cass with a youth garden program; won a 2024 Omaha Neighborhood Grant ($4,716). Source: https://omahafoundation.org/news/omaha-neighborhood-grants-award-80k-to-24-groups-for-community-building-in-2024-cycle/"
Miller Park Minne Lusa Neighborhood Association,Omaha,NE,Independent,https://mpml.org/,,,,"Prospect, Omaha, Neighborhood Assoc, Grant Recipient","North Omaha association running a community garden that donates harvests to pantries; won a 2024 Omaha Neighborhood Grant ($2,500). Source: https://omahafoundation.org/news/omaha-neighborhood-grants-award-80k-to-24-groups-for-community-building-in-2024-cycle/"
Hartman Avenue Neighborhood Association Community Garden,Omaha,NE,Independent,,,,,"Prospect, Omaha, Neighborhood Assoc, Grant Recipient","North Omaha garden behind Mount View Presbyterian Church (5308 Hartman Ave); won a 2024 Omaha Neighborhood Grant ($5,000) for expansion. Source: https://omahafoundation.org/news/omaha-neighborhood-grants-award-80k-to-24-groups-for-community-building-in-2024-cycle/"
Dahlman Garden Club,Omaha,NE,Independent,https://www.facebook.com/DahlmanGardenClub/,,,,"Prospect, Omaha, Grant Recipient","Community garden in Little Italy/Dahlman, South Omaha (6th & Pierce); won a 2024 Omaha Neighborhood Grant ($1,150) for rainwater capture and beds. Source: https://omahafoundation.org/news/omaha-neighborhood-grants-award-80k-to-24-groups-for-community-building-in-2024-cycle/"
Healing Roots Garden,Omaha,NE,Independent,,,Clarice Dombeck,,"Prospect, Omaha, Refugee/New American",African Diaspora co-op garden on N 24th St (est. 2021) worked by ~60 volunteers growing culturally significant crops. Source: https://www.unothegateway.com/the-history-of-north-omahas-healing-roots-garden/
Free Farm Syndicate,Omaha,NE,Independent,https://www.instagram.com/freefarmsyndicate,grassyndicate@gmail.com,Kourtney Wismont,,"Prospect, Omaha","Volunteer urban-ag collective growing/giving away free produce at two Omaha lots (S 10th St, N 29th St). Source: https://el-perico.com/omahas-community-gardens-growing-strong/"
Refugee Women Organization of Nebraska (New American Urban Farm),Omaha,NE,Independent,,,Christine Ross,(402) 306-6651,"Prospect, Omaha, Refugee/New American",Runs the New American Urban Farm at Cooper Farm (8502 Mormon Bridge Rd) where refugee/immigrant growers farm native-country produce. Source: https://el-perico.com/omahas-community-gardens-growing-strong/
Latino Center of the Midlands,Omaha,NE,Independent,https://www.latinocenter.org/,,Efren Garcia,(402) 733-2720,"Prospect, Omaha",South Omaha nonprofit running a gardening/health program (Siembra Salud / Cultivate Wellness). Source: https://thereader.com/2022/08/08/for-some-latino-omahans-solving-health-disparities-starts-in-the-garden/
Community Crops,Lincoln,NE,Independent,https://communitycrops.org/,info@communitycrops.org,Ailyne Swartz Taylor,,"Prospect, Lincoln, Garden Network",Lincoln's flagship community-gardens nonprofit — ~14 sites / ~19 acres serving 200+ growers; 2025 Lincoln Community Foundation operating support. Source: https://communitycrops.org/gardens/
Southern Heights Food Forest,Lincoln,NE,Independent,https://southernheightsff.org/,,,,"Prospect, Lincoln, Grant Recipient",2-acre site at Southern Heights Presbyterian Church with Nebraska's first public food forest plus 50+ garden plots; 2024 Lincoln Community Foundation grant + $10k Nebraska Presbyterian Foundation. Source: https://southernheightsff.org/
Arapahoe Garden (Southview Baptist Church),Lincoln,NE,Independent,https://southviewbaptist.org/garden,sarahhunter0505@gmail.com,Sarah Hunter,,"Prospect, Lincoln, Neighborhood Assoc","Self-managed Indian Village neighborhood garden (opened 2013) with twenty 10x10 plots, run with Community CROPS. Source: https://southviewbaptist.org/garden"
Asian Community & Cultural Center,Lincoln,NE,Independent,https://www.lincolnasiancenter.org/,,,,"Prospect, Lincoln, Refugee/New American",Refugee/immigrant services nonprofit (144 N 44th St) co-running the BCBS Knyaw refugee garden for Lincoln's Karen community with Community Crops. Source: https://newsroom.nebraskablue.com/lincoln-communal-garden-growing/
Prairie Pines (Wachiska Audubon Society),Lincoln,NE,Independent,https://prairiepines.org/,,,,"Prospect, Lincoln, Refugee/New American",154-acre preserve NE of Lincoln (to Wachiska Audubon in 2024) hosting a 5-acre Community Crops incubator farm for new-American specialty-crop growers. Source: https://nebraskaexaminer.com/2024/10/24/lincoln-based-audubon-chapter-takes-on-ownership-management-of-nature-preserve/
